,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
0,2020,6049,II (G02) 2018 – н.в. ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Дубликат,BMW ,X4 ,,3.0 LTR ,249," Дизель, газобаллонное оборудование",5,4999000,0
1,2011,91760,H Рестайлинг 2006 – 2014 ,хэтчбек 5 дв.,серый,механическая,передний,Левый,3 или более,Дубликат,Opel ,Astra ,,1.6 LTR ,115, Бензин,5,410000,0
2,2013,230000,IV 2012 – 2017 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,3 или более,Оригинал,Land Rover ,Range Rover ,3 года и 4 месяца,3.0 LTR ,340, Бензин,5,2200000,0
3,2017,135388,II Рестайлинг 2012 – 2020 ,внедорожник 5 дв.,синий,автоматическая,полный,Левый,1 владелец,Оригинал,Kia ,Sorento ,3 года и 8 месяцев,2.4 LTR ,175, Бензин,5,1520000,0
4,2018,82000,IV 2016 – 2018 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,Kia ,Sportage ,,2.0 LTR ,150, Бензин,5,1645000,0
5,2015,118748,200 Series Рестайлинг 2 2015 – н.в. ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,1 владелец,Оригинал,Toyota ,Land Cruiser ,,4.5 LTR ,249, Дизель,5,4490000,0
6,2019,48492,II 2017 – н.в. ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Mazda ,CX-5 ,,2.5 LTR ,194, Бензин,5,2389000,0
7,2015,31000,II 2013 – 2018 ,хэтчбек 5 дв.,чёрный,механическая,передний,Левый,3 или более,Оригинал,Renault ,Sandero ,7 месяцев,1.6 LTR ,82, Бензин,5,520000,0
8,2019,28881,I 2017 – 2020 ,внедорожник 5 дв.,красный,вариатор,полный,Левый,1 владелец,Оригинал,Mitsubishi ,Eclipse Cross ,,1.5 LTR ,150, Бензин,5,1997000,0
9,2018,66974,I Рестайлинг 2017 – 2020 ,лифтбек,белый,механическая,передний,Левый,2 владельца,Оригинал,Skoda ,Rapid ,,1.6 LTR ,90, Бензин,5,515000,0
10,2017,101000,VI Рестайлинг 2017 – 2020 ,седан,белый,вариатор,полный,Левый,1 владелец,Оригинал,Subaru ,Legacy ,,2.5 LTR ,175, Бензин,4,1499000,0
11,2018,97185,I 2016 – н.в. ,минивэн,белый,автоматическая,передний,Левый,1 владелец,Оригинал,Peugeot ,Traveller ,,2.0 LTR ,150, Дизель,5,1979000,0
12,2020,26124,I (F39) 2017 – н.в. ,внедорожник 5 дв.,белый,роботизированная,передний,Левый,1 владелец,Оригинал,BMW ,X2 ,,1.5 LTR ,140, Бензин,5,2066300,0
13,2007,131000,III Рестайлинг 1 2005 – 2012 ,внедорожник 3 дв.,синий,механическая,полный,Левый,1 владелец,Оригинал,Suzuki ,Jimny ,,1.3 LTR ,85, Бензин,3,515000,0
14,2012,132735,I 2009 – 2012 ,компактвэн,серый,вариатор,передний,Левый,1 владелец,Оригинал,Toyota ,Verso ,,1.8 LTR ,147, Бензин,5,880000,0
15,2012,121000,"IV (W212, S212, C207) 2009 – 2013 ",купе-хардтоп,коричневый,автоматическая,задний,Левый,3 или более,Оригинал,Mercedes-Benz ,E-Класс ,9 лет,1.8 LTR ,184, Бензин,2,1195000,0
16,2012,236000,I 2009 – 2014 ,внедорожник 5 дв.,серый,роботизированная,передний,Левый,1 владелец,Оригинал,Skoda ,Yeti ,,1.2 LTR ,105, Бензин,5,445000,0
