,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
0,2018,4000,XIII 2014 – 2018 ,пикап двойная кабина,чёрный,автоматическая,полный,Левый,2 владельца,Оригинал,Ford ,F-150 ,,3.5 LTR ,450, Бензин,4,7750000,0
1,2016,84800,II 2016 – 2020 ,хэтчбек 5 дв.,серебристый,роботизированная,полный,Левый,3 или более,Оригинал,Porsche ,Panamera ,,2.9 LTR ,440, Бензин,5,6790000,0
2,2017,48000,I Рестайлинг 2015 – 2017 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,1 владелец,Оригинал,Mazda ,CX-5 ,4 года и 1 месяц,2.0 LTR ,150, Бензин,5,1950000,0
3,2018,53015,I 2017 – н.в. ,седан,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Genesis ,G70 ,,2.0 LTR ,197, Бензин,4,1742000,0
4,2017,92000,2015 – 2020 ,универсал 5 дв.,серый,роботизированная,передний,Левый,1 владелец,Оригинал,Renault ,Talisman ,,1.6 LTR ,160, Дизель,5,1360000,0
5,2000,197000,I (R170) Рестайлинг 2000 – 2004 ,родстер,серый,автоматическая,задний,Левый,3 или более,Оригинал,Mercedes-Benz ,SLK-Класс ,1 год и 9 месяцев,2.3 LTR ,197, Бензин,2,650000,0
6,2010,104000,I 2007 – 2011 ,купе,зелёный,роботизированная,полный,Левый,3 или более,Оригинал,Nissan ,GT-R ,3 года и 2 месяца,3.8 LTR ,485, Бензин,2,2700000,0
7,2014,82435,II (W463) Рестайлинг 3 2012 – 2015 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Mercedes-Benz ,G-Класс ,,5.5 LTR ,388, Бензин,5,4450000,0
8,2013,17000,I 2011 – 2016 ,купе,красный,роботизированная,полный,Левый,3 или более,Оригинал,Lamborghini ,Aventador ,,6.5 LTR ,700, Бензин,2,20000000,0
9,2011,149000,V 2010 – 2015 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Ford ,Explorer ,,3.5 LTR ,294, Бензин,5,1185000,0
10,2010,145400,III Рестайлинг 2008 – 2012 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Suzuki ,Grand Vitara ,,2.0 LTR ,140, Бензин,5,688000,0
11,2003,235000,V (XV30) 2001 – 2004 ,седан,синий,механическая,передний,Левый,3 или более,Дубликат,Toyota ,Camry ,,2.4 LTR ,152, Бензин,4,345000,0
12,2016,86760,VI 2015 – 2018 ,купе,синий,автоматическая,задний,Левый,1 владелец,Оригинал,Chevrolet ,Camaro ,,2.0 LTR ,275, Бензин,2,2320000,0
13,2016,69000,I Рестайлинг 2011 – 2016 ,внедорожник 5 дв.,коричневый,автоматическая,полный,Левый,1 владелец,Оригинал,Volkswagen ,Tiguan ,,2.0 LTR ,180, Бензин,5,1245000,0
14,2020,15500,I 2019 – н.в. ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,2 владельца,Оригинал,Porsche ,Cayenne Coupe ,3 месяца,3.0 LTR ,340, Бензин,5,8500000,0
15,2018,78246,I 2016 – 2020 ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Hyundai ,Creta ,,2.0 LTR ,149, Бензин,5,1279000,0
16,2018,78000,I 2016 – 2020 ,внедорожник 5 дв.,серый,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Creta ,,2.0 LTR ,149, Бензин,5,1150000,0
17,2013,90726,I Рестайлинг 2009 – 2013 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Land Rover ,Range Rover Sport ,,3.0 LTR ,245, Дизель,5,1645000,0
18,2017,61000,"I (C117, X117) Рестайлинг 2016 – 2019 ",седан,чёрный,роботизированная,передний,Левый,1 владелец,Оригинал,Mercedes-Benz ,CLA ,,1.6 LTR ,150, Бензин,4,1590000,0
19,2011,181531,II (U40) Рестайлинг 2010 – 2013 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Toyota ,Highlander ,,3.5 LTR ,273, Бензин,5,1329000,0
20,2019,11200,VIII (DN8) 2019 – н.в. ,седан,чёрный,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Sonata ,,2.5 LTR ,180, Бензин,4,1815000,0
21,2020,100,2018 – н.в. ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,Rolls-Royce ,Cullinan ,7 месяцев,6.8 LTR ,571, Бензин,5,36000000,0
22,2018,90814,I 2016 – 2020 ,внедорожник 5 дв.,красный,механическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Creta ,,1.6 LTR ,123, Бензин,5,959000,0
23,2020,750,VIII (DN8) 2019 – н.в. ,седан,серый,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Sonata ,,2.5 LTR ,180, Бензин,4,2049000,0
24,2017,87400,2015 – 2020 ,универсал 5 дв.,синий,механическая,передний,Левый,1 владелец,Оригинал,Renault ,Talisman ,4 года и 4 месяца,1.5 LTR ,110, Дизель,5,1527000,0
