,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
1281,2017,80000,IV (CA40) Рестайлинг 2015 – 2019 ,внедорожник 5 дв.,чёрный,вариатор,полный,Левый,1 владелец,Оригинал,Toyota ,RAV4 ,,2.0 LTR ,146, Бензин,5,1770000,0
1282,2016,75000,III Рестайлинг 2015 – 2017 ,седан,чёрный,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Rio ,,1.6 LTR ,123, Бензин,4,799000,0
1283,2013,58000,I 2011 – 2018 ,седан,красный,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Granta ,,1.6 LTR ,82, Бензин,4,287000,0
1284,2013,146737,2009 – 2016 ,седан,чёрный,механическая,передний,Левый,3 или более,Оригинал,Geely ,Emgrand EC7 ,,1.8 LTR ,126, Бензин,4,300000,0
1285,2013,120000,II 2013 – 2018 ,хэтчбек 5 дв.,чёрный,автоматическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Kalina ,,1.6 LTR ,98, Бензин,5,387000,0
1286,2010,193508,I 2008 – 2013 ,седан,белый,автоматическая,передний,Левый,3 или более,Оригинал,Opel ,Insignia ,,2.0 LTR ,220, Бензин,4,589000,0
1287,2019,30200,I Рестайлинг 2018 – н.в. ,внедорожник 5 дв.,синий,вариатор,передний,Левый,1 владелец,Оригинал,Chery ,Tiggo 4 ,,2.0 LTR ,122, Бензин,5,1180990,0
1288,2010,134700,I Рестайлинг 2005 – 2011 ,хэтчбек 5 дв.,красный,механическая,передний,Левый,2 владельца,Оригинал,Hyundai ,Getz ,,1.4 LTR ,97, Бензин,5,366000,0
1289,2011,80739,I (E81/E82/E87/E88) Рестайлинг 2007 – 2011 ,хэтчбек 3 дв.,чёрный,автоматическая,задний,Левый,2 владельца,Оригинал,BMW ,1 серии ,,1.6 LTR ,115, Бензин,3,598000,0
1290,2017,72000,III Рестайлинг 2015 – 2017 ,хэтчбек 5 дв.,белый,механическая,передний,Левый,1 владелец,Оригинал,Kia ,Rio ,,1.6 LTR ,123, Бензин,5,734900,0
1291,2008,148500,II 2007 – 2011 ,внедорожник 5 дв.,серый,вариатор,полный,Левый,2 владельца,Оригинал,Nissan ,X-Trail ,,2.0 LTR ,141, Бензин,5,769000,0
1292,2018,53000,I Рестайлинг 2009 – 2020 ,внедорожник 5 дв.,синий,механическая,полный,Левый,1 владелец,Оригинал,Chevrolet ,Niva ,,1.7 LTR ,80, Бензин,5,629990,0
1293,2011,123673,J 2009 – 2012 ,хэтчбек 5 дв.,синий,механическая,передний,Левый,1 владелец,Оригинал,Opel ,Astra ,,1.6 LTR ,115, Бензин,5,520000,0
1294,2014,124000,150 Series Рестайлинг 1 2013 – 2017 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Toyota ,Land Cruiser Prado ,,4.0 LTR ,282, Бензин,5,3149000,0
1295,2012,100600,150 Series 2009 – 2013 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,2 владельца,Дубликат,Toyota ,Land Cruiser Prado ,9 лет и 3 месяца,4.0 LTR ,282, Бензин,5,2399000,0
1296,2010,126000,150 Series 2009 – 2013 ,внедорожник 5 дв.,бежевый,автоматическая,полный,Левый,1 владелец,Оригинал,Toyota ,Land Cruiser Prado ,,4.0 LTR ,282, Бензин,5,2229000,0
