,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
10,2020,43000,I 2016 – н.в. ,внедорожник 5 дв.,серый,роботизированная,передний,Левый,1 владелец,Оригинал,Skoda ,Kodiaq ,,1.4 LTR ,150, Бензин,5,2145000,0
11,2013,157000,II 2007 – 2013 ,универсал 5 дв.,красный,автоматическая,полный,Левый,2 владельца,Оригинал,Volvo ,XC70 ,,2.4 LTR ,163, Дизель,5,1192000,0
12,2017,112000,2015 – н.в. ,седан,серый,механическая,передний,Левый,1 владелец,Оригинал,Ravon ,Nexia R3 ,,1.5 LTR ,107, Бензин,4,439000,0
13,2007,157000,III 2006 – 2010 ,седан,чёрный,автоматическая,передний,Левый,3 или более,Оригинал,Chrysler ,Sebring ,,2.7 LTR ,189, Бензин,4,357000,0
14,2017,34428,III 2017 – н.в. ,хэтчбек 5 дв.,белый,автоматическая,передний,Левый,2 владельца,Оригинал,Kia ,Picanto ,,1.3 LTR ,84, Бензин,5,960000,0
15,2014,104679,II 2012 – 2015 ,хэтчбек 5 дв.,коричневый,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Ceed ,,1.6 LTR ,129, Бензин,5,830000,0
16,2019,35334,II 2017 – 2020 ,седан,серый,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,968000,0
17,2013,115712,J Рестайлинг 2012 – 2017 ,хэтчбек 3 дв.,чёрный,автоматическая,передний,Левый,3 или более,Дубликат,Opel ,Astra ,,1.4 LTR ,140, Бензин,3,680000,0
18,2008,156000,III (W204) 2006 – 2011 ,седан,чёрный,автоматическая,задний,Левый,3 или более,Оригинал,Mercedes-Benz ,C-Класс ,,1.8 LTR ,184, Бензин,4,639000,0
19,2014,107032,I 2014 – 2019 ,седан,белый,механическая,передний,Левый,2 владельца,Оригинал,Datsun ,on-DO ,,1.6 LTR ,87, Бензин,4,350000,0
20,2011,192000,II 2008 – 2013 ,седан,голубой,автоматическая,передний,Левый,3 или более,Оригинал,Kia ,Cerato ,,1.6 LTR ,126, Бензин,4,560000,0
21,2015,136719,I 2011 – 2018 ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Granta ,,1.6 LTR ,87, Бензин,4,329000,0
22,2012,154488,II (F20/F21) 2011 – 2015 ,хэтчбек 5 дв.,голубой,автоматическая,задний,Левый,2 владельца,Оригинал,BMW ,1 серии ,,1.6 LTR ,136, Бензин,5,845000,0
23,2011,65000,I 2010 – 2014 ,внедорожник 5 дв.,красный,механическая,передний,Левый,1 владелец,Оригинал,Nissan ,Juke ,9 лет и 11 месяцев,1.6 LTR ,117, Бензин,5,700000,0
24,2018,37039,II Рестайлинг 2012 – 2020 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,Kia ,Sorento ,,2.4 LTR ,175, Бензин,5,2070000,0
25,2015,87192,I Рестайлинг 2015 – 2017 ,внедорожник 5 дв.,синий,автоматическая,передний,Левый,1 владелец,Оригинал,Mazda ,CX-5 ,,2.0 LTR ,150, Бензин,5,1535000,0
26,2008,173710,II 2007 – 2010 ,хэтчбек 5 дв.,синий,автоматическая,передний,Левый,3 или более,Оригинал,Skoda ,Fabia ,,1.6 LTR ,105, Бензин,5,360000,0
27,2007,171422,I 2002 – 2009 ,седан,синий,механическая,передний,Левый,3 или более,Оригинал,Chevrolet ,Lanos ,,1.5 LTR ,86, Бензин,4,107000,0
28,2015,125940,I Рестайлинг 2015 – 2017 ,внедорожник 5 дв.,серебристый,автоматическая,полный,Левый,1 владелец,Оригинал,Mazda ,CX-5 ,,2.5 LTR ,192, Бензин,5,1665000,0
29,2015,75132,V 2014 – 2019 ,седан,серебристый,автоматическая,передний,Левый,2 владельца,Оригинал,Ford ,Mondeo ,,2.5 LTR ,149, Бензин,4,1099000,0
30,2019,24034,I 2016 – 2020 ,внедорожник 5 дв.,коричневый,автоматическая,полный,Левый,1 владелец,Оригинал,Hyundai ,Creta ,,1.6 LTR ,121, Бензин,5,1435000,0
31,2012,144076,I (X204) Рестайлинг 2012 – 2015 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,3 или более,Дубликат,Mercedes-Benz ,GLK-Класс ,,3.5 LTR ,249, Бензин,5,1394000,0
32,2008,195000,II Рестайлинг 2006 – 2009 ,универсал 5 дв.,серый,механическая,передний,Левый,2 владельца,Оригинал,Renault ,Megane ,,1.5 LTR ,105, Дизель,5,275000,0
33,2017,76791,I Рестайлинг 2017 – 2020 ,лифтбек,белый,механическая,передний,Левый,1 владелец,Оригинал,Skoda ,Rapid ,,1.6 LTR ,90, Бензин,5,765000,0
34,2007,168000,III 2004 – 2009 ,внедорожник 5 дв.,синий,автоматическая,полный,Левый,3 или более,Оригинал,Land Rover ,Discovery ,,2.7 LTR ,190, Дизель,5,765000,0
35,2011,89705,I 2008 – 2012 ,внедорожник 5 дв.,коричневый,механическая,полный,Левый,1 владелец,Оригинал,Ford ,Kuga ,,2.5 LTR ,200, Бензин,5,839900,0
36,2017,162000,V Рестайлинг 2014 – 2020 ,седан,бежевый,механическая,передний,Левый,1 владелец,Оригинал,Volkswagen ,Polo ,,1.6 LTR ,110, Бензин,4,634000,0
37,2012,181432,III 2010 – 2014 ,внедорожник 5 дв.,оранжевый,автоматическая,полный,Левый,1 владелец,Оригинал,Kia ,Sportage ,,2.0 LTR ,150, Бензин,5,930000,0
38,2016,170000,IV 2016 – 2018 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Kia ,Sportage ,,2.0 LTR ,150, Бензин,5,1290990,0
39,2013,95115,I (X204) Рестайлинг 2012 – 2015 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,1 владелец,Оригинал,Mercedes-Benz ,GLK-Класс ,,2.1 LTR ,170, Дизель,5,1445000,0
40,2012,60000,III 2008 – 2014 ,хэтчбек 5 дв.,красный,механическая,передний,Левый,1 владелец,Оригинал,Renault ,Megane ,,1.6 LTR ,100, Бензин,5,630000,0
41,2015,305,II (F16) 2014 – 2020 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,BMW ,X6 ,,3.0 LTR ,306, Бензин,5,4950000,0
42,2017,162000,V Рестайлинг 2014 – 2020 ,седан,бежевый,механическая,передний,Левый,1 владелец,Оригинал,Volkswagen ,Polo ,,1.6 LTR ,110, Бензин,4,634000,0
43,2015,176779,II (4M) 2015 – 2019 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,Audi ,Q7 ,,3.0 LTR ,249, Дизель,5,3179000,0
44,2015,140000,VII (XV50) Рестайлинг 2014 – 2017 ,седан,чёрный,автоматическая,передний,Левый,2 владельца,Оригинал,Toyota ,Camry ,,2.5 LTR ,181, Бензин,4,1485000,0
45,2018,113412,I 2014 – 2020 ,внедорожник 5 дв.,коричневый,механическая,передний,Левый,1 владелец,Оригинал,Chery ,Tiggo 3 ,3 года и 1 месяц,1.6 LTR ,126, Бензин,5,679000,0
46,2011,139000,"IV (W212, S212, C207) 2009 – 2013 ",купе-хардтоп,чёрный,автоматическая,задний,Левый,3 или более,Дубликат,Mercedes-Benz ,E-Класс ,,1.8 LTR ,204, Бензин,2,1049000,0
47,2013,153378,IV (CA40) 2012 – 2015 ,внедорожник 5 дв.,зелёный,автоматическая,полный,Левый,1 владелец,Оригинал,Toyota ,RAV4 ,,2.2 LTR ,149, Дизель,5,1528000,0
48,2010,129000,I 2009 – 2014 ,внедорожник 5 дв.,коричневый,роботизированная,передний,Левый,3 или более,Дубликат,Skoda ,Yeti ,,1.2 LTR ,105, Бензин,5,539000,0
49,2018,101414,III Рестайлинг 2015 – 2018 ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Hyundai ,Santa Fe ,,2.2 LTR ,200, Дизель,5,1797000,0
50,2012,87473,D Рестайлинг II 2011 – 2014 ,хэтчбек 3 дв.,серебристый,механическая,передний,Левый,3 или более,Оригинал,Opel ,Corsa ,,1.2 LTR ,85, Бензин,3,319000,0
51,2018,60000,I 2012 – н.в. ,универсал 5 дв.,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Largus ,,1.6 LTR ,106, Бензин,5,670000,0
52,2015,144536,III 2011 – 2015 ,седан,серебристый,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Rio ,,1.4 LTR ,107, Бензин,4,672800,0
53,2015,108000,IV Рестайлинг 2014 – 2018 ,внедорожник 5 дв.,белый,механическая,полный,Левый,1 владелец,Оригинал,Honda ,CR-V ,,2.0 LTR ,150, Бензин,5,1592000,0
54,2014,200000,I 2012 – н.в. ,универсал 5 дв.,бежевый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Largus ,,1.6 LTR ,105, Бензин,5,490000,0
55,2018,23620,I Рестайлинг 2014 – 2019 ,внедорожник 5 дв.,красный,вариатор,передний,Левый,3 или более,Оригинал,Nissan ,Juke ,,1.6 LTR ,117, Бензин,5,1340000,0
56,2020,10200,II 2017 – н.в. ,внедорожник 5 дв.,синий,автоматическая,полный,Левый,1 владелец,Оригинал,Volvo ,XC60 ,,2.0 LTR ,190, Дизель,5,4048000,0
57,2014,105000,II 2012 – 2015 ,хэтчбек 5 дв.,коричневый,механическая,передний,Левый,2 владельца,Оригинал,Kia ,Ceed ,,1.4 LTR ,100, Бензин,5,699000,0
58,2013,167773,VI (F10/F11/F07) 2009 – 2013 ,седан,коричневый,автоматическая,задний,Левый,2 владельца,Оригинал,BMW ,5 серии ,,2.0 LTR ,184, Бензин,4,1386000,0
59,2018,35948,I 2015 – н.в. ,хэтчбек 5 дв.,белый,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,XRAY ,,1.8 LTR ,122, Бензин,5,850000,0
60,2019,19000,I 2015 – н.в. ,седан,серый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,4,732000,0
61,2012,146361,I (X204) 2008 – 2012 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Дубликат,Mercedes-Benz ,GLK-Класс ,,3.0 LTR ,231, Бензин,5,1206400,0
62,2011,122032,IV (C7) 2011 – 2014 ,седан,серый,роботизированная,полный,Левый,2 владельца,Оригинал,Audi ,A6 ,,3.0 LTR ,245, Дизель,4,1345000,0
63,2020,13490,VII (G30/G31) Рестайлинг 2020 – н.в. ,седан,белый,автоматическая,полный,Левый,1 владелец,Оригинал,BMW ,5 серии ,4 месяца,2.0 LTR ,249, Бензин,4,4449000,0
64,2016,80438,I Рестайлинг 2014 – 2017 ,седан,серый,механическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,717800,0
65,2018,55344,IV 2017 – 2020 ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,Kia ,Rio ,,1.6 LTR ,123, Бензин,4,779900,0
66,2012,152823,III Рестайлинг 2009 – 2012 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,3 или более,Оригинал,Honda ,CR-V ,,2.4 LTR ,166, Бензин,5,959900,0
67,2008,167000,II 2007 – 2013 ,универсал 5 дв.,чёрный,автоматическая,полный,Левый,2 владельца,Оригинал,Volvo ,XC70 ,,3.2 LTR ,238, Бензин,5,865000,0
68,2018,66161,IV 2016 – 2018 ,внедорожник 5 дв.,серебристый,автоматическая,полный,Левый,1 владелец,Оригинал,Kia ,Sportage ,,2.0 LTR ,150, Бензин,5,1775000,0
69,2017,157279,III Рестайлинг 2015 – 2017 ,седан,серебристый,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Rio ,,1.6 LTR ,123, Бензин,4,650000,0
70,2018,23000,III 2017 – н.в. ,хэтчбек 5 дв.,бежевый,автоматическая,передний,Левый,2 владельца,Оригинал,Kia ,Picanto ,,1.3 LTR ,84, Бензин,5,932000,0
71,2012,118000,V (MD) 2010 – 2014 ,седан,чёрный,автоматическая,передний,Левый,2 владельца,Оригинал,Hyundai ,Elantra ,,1.6 LTR ,132, Бензин,4,726000,0
72,2013,114000,III (GJ) 2012 – 2015 ,седан,чёрный,автоматическая,передний,Левый,3 или более,Оригинал,Mazda ,6 ,7 лет и 11 месяцев,2.5 LTR ,192, Бензин,4,1070000,0
73,2019,41000,II 2017 – 2020 ,седан,серый,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,1064000,0
74,2013,197200,2012 – н.в. ,фургон,белый,механическая,передний,Левый,2 владельца,Оригинал,Mercedes-Benz ,Citan ,,1.5 LTR ,90, Дизель,4,585000,0
75,2008,167000,II 2007 – 2013 ,универсал 5 дв.,чёрный,автоматическая,полный,Левый,2 владельца,Оригинал,Volvo ,XC70 ,,3.2 LTR ,238, Бензин,5,865000,0
76,2007,136000,I (A4) Рестайлинг 2000 – 2011 ,лифтбек,чёрный,механическая,передний,Левый,3 или более,Оригинал,Skoda ,Octavia ,,1.4 LTR ,75, Бензин,5,289000,0
77,2018,35500,II 2016 – 2020 ,внедорожник 5 дв.,синий,автоматическая,передний,Левый,2 владельца,Оригинал,MINI ,Countryman ,,1.5 LTR ,136, Бензин,5,1917000,0
78,2013,114000,III (GJ) 2012 – 2015 ,седан,чёрный,автоматическая,передний,Левый,3 или более,Оригинал,Mazda ,6 ,7 лет и 11 месяцев,2.5 LTR ,192, Бензин,4,1070000,0
79,2010,111965,II 2008 – 2013 ,седан,красный,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Cerato ,,1.6 LTR ,126, Бензин,4,679000,0
80,2015,22000,I Рестайлинг 2012 – 2016 ,внедорожник 5 дв.,синий,вариатор,полный,Левый,2 владельца,Оригинал,Mitsubishi ,ASX ,,2.0 LTR ,150, Бензин,5,1457000,0
81,2013,171387,I 2010 – 2014 ,седан,синий,механическая,передний,Левый,2 владельца,Дубликат,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,421400,0
82,2012,152823,III Рестайлинг 2009 – 2012 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,3 или более,Оригинал,Honda ,CR-V ,,2.4 LTR ,166, Бензин,5,959900,0
83,2014,145000,I Рестайлинг 2013 – 2017 ,седан,чёрный,автоматическая,передний,Левый,2 владельца,Оригинал,Opel ,Insignia ,,1.6 LTR ,170, Бензин,4,1160000,0
84,2020,12600,II Рестайлинг 2020 – н.в. ,седан,коричневый,автоматическая,передний,Левый,2 владельца,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,1139000,0
85,2012,109512,I (X204) 2008 – 2012 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,1 владелец,Оригинал,Mercedes-Benz ,GLK-Класс ,,2.1 LTR ,170, Дизель,5,1195000,0
86,2014,64115,III (A7) 2013 – 2017 ,универсал 5 дв.,белый,роботизированная,передний,Левый,3 или более,Оригинал,Skoda ,Octavia ,,1.4 LTR ,140, Бензин,5,705000,0
87,2012,126000,I (8T) Рестайлинг 2011 – 2016 ,купе,белый,роботизированная,полный,Левый,2 владельца,Оригинал,Audi ,A5 ,,2.0 LTR ,211, Бензин,2,1300000,0
88,2018,88000,I Рестайлинг 2018 – н.в. ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Granta ,,1.6 LTR ,87, Бензин,4,467000,0
89,2013,78000,I Рестайлинг 2000 – 2015 ,хэтчбек 5 дв.,бежевый,механическая,передний,Левый,1 владелец,Оригинал,Daewoo ,Matiz ,,0.8 LTR ,52, Бензин,5,185000,0
90,2016,50415,II 2013 – 2018 ,хэтчбек 5 дв.,чёрный,механическая,передний,Левый,1 владелец,Оригинал,Renault ,Sandero ,,1.6 LTR ,82, Бензин,5,680000,0
91,2012,104586,I 2008 – 2012 ,внедорожник 5 дв.,серебристый,роботизированная,полный,Левый,1 владелец,Оригинал,Ford ,Kuga ,,2.0 LTR ,164, Дизель,5,990000,0
92,2013,98000,III 2013 – 2016 ,купе,синий,механическая,передний,Левый,3 или более,Оригинал,Kia ,Cerato ,7 лет и 7 месяцев,2.0 LTR ,150, Бензин,2,749000,0
93,2016,73284,III Рестайлинг 2015 – 2017 ,хэтчбек 5 дв.,белый,механическая,передний,Левый,2 владельца,Оригинал,Kia ,Rio ,,1.6 LTR ,123, Бензин,5,729000,0
94,2012,106000,I 2011 – 2015 ,внедорожник 5 дв.,синий,автоматическая,полный,Левый,3 или более,Оригинал,Land Rover ,Range Rover Evoque ,,2.0 LTR ,240, Бензин,5,1622000,0
95,2017,60103,I 2016 – 2020 ,внедорожник 5 дв.,серебристый,механическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Creta ,,1.6 LTR ,123, Бензин,5,1017000,0
96,2013,118376,IV 2012 – 2015 ,внедорожник 5 дв.,белый,вариатор,полный,Левый,1 владелец,Оригинал,Subaru ,Forester ,,2.0 LTR ,150, Бензин,5,1335000,0
97,2019,29145,I 2018 – н.в. ,внедорожник 5 дв.,белый,вариатор,передний,Левый,2 владельца,Оригинал,Lexus ,UX ,,2.0 LTR ,150, Бензин,5,2626585,0
98,2018,74032,I 2015 – н.в. ,универсал 5 дв.,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106," Бензин, газобаллонное оборудование",5,698000,0
99,2016,69000,I Рестайлинг 2011 – 2016 ,внедорожник 5 дв.,коричневый,автоматическая,полный,Левый,1 владелец,Оригинал,Volkswagen ,Tiguan ,,2.0 LTR ,180, Бензин,5,1245000,0
100,2010,90220,II 2006 – 2010 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Дубликат,Land Rover ,Freelander ,,2.2 LTR ,160, Дизель,5,795000,0
101,2020,17000,V Рестайлинг 2014 – 2020 ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,Volkswagen ,Polo ,,1.6 LTR ,90, Бензин,4,880000,0
102,2001,412837,I 2001 – 2004 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Hyundai ,Terracan ,,2.5 LTR ,101, Дизель,5,367700,0
103,2012,130314,II 2010 – 2016 ,хэтчбек 5 дв.,коричневый,автоматическая,передний,Левый,1 владелец,Оригинал,Citroen ,C4 ,,1.6 LTR ,120, Бензин,5,539800,0
104,2016,68480,V Рестайлинг 2014 – 2020 ,седан,синий,автоматическая,передний,Левый,1 владелец,Оригинал,Volkswagen ,Polo ,,1.6 LTR ,110, Бензин,4,760000,0
105,2017,74000,I 2015 – н.в. ,седан,серебристый,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,4,629000,0
106,2011,132070,I 2007 – 2013 ,хэтчбек 5 дв.,серый,механическая,передний,Левый,3 или более,Оригинал,LADA (ВАЗ) ,Priora ,,1.6 LTR ,98, Бензин,5,216600,0
107,2015,156196,III 2013 – 2019 ,внедорожник 5 дв.,белый,вариатор,полный,Левый,3 или более,Оригинал,Nissan ,X-Trail ,,2.0 LTR ,144, Бензин,5,1297000,0
108,2008,201601,I 2007 – 2013 ,хэтчбек 5 дв.,чёрный,механическая,передний,Левый,3 или более,Оригинал,LADA (ВАЗ) ,Priora ,,1.6 LTR ,98, Бензин,5,159000,0
109,2019,20200,I Рестайлинг 2018 – н.в. ,седан,серый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Granta ,,1.6 LTR ,87, Бензин,4,499900,0
110,2001,200000,I Рестайлинг 1999 – 2001 ,внедорожник 5 дв.,зелёный,механическая,полный,Левый,3 или более,Дубликат,Honda ,CR-V ,,2.0 LTR ,147, Бензин,5,345000,0
111,2018,82016,II 2017 – 2020 ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Solaris ,,1.4 LTR ,100, Бензин,4,765000,0
112,2018,45000,II 2014 – 2019 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,2 владельца,Оригинал,Volvo ,XC90 ,,2.0 LTR ,235, Дизель,5,3948000,0
113,2012,160000,I 2004 – 2013 ,хэтчбек 5 дв.,красный,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Kalina ,,1.6 LTR ,81, Бензин,5,175000,0
114,2019,33121,I 2012 – н.в. ,универсал 5 дв.,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Largus ,,1.6 LTR ,87, Бензин,5,698000,0
115,2012,102242,I 2010 – 2015 ,внедорожник 5 дв.,белый,автоматическая,передний,Левый,1 владелец,Оригинал,Renault ,Duster ,,2.0 LTR ,135, Бензин,5,719000,0
116,2019,35000,I 2015 – н.в. ,универсал 5 дв.,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,5,845000,0
117,2014,150000,III (BM) 2013 – 2017 ,седан,красный,автоматическая,передний,Левый,1 владелец,Оригинал,Mazda ,3 ,,1.5 LTR ,120, Бензин,4,929000,0
118,2012,102000,I 2010 – 2015 ,внедорожник 5 дв.,бежевый,механическая,полный,Левый,1 владелец,Оригинал,Renault ,Duster ,,2.0 LTR ,135, Бензин,5,540000,0
119,2016,32500,III 2013 – 2019 ,внедорожник 5 дв.,серебристый,вариатор,полный,Левый,2 владельца,Оригинал,Nissan ,X-Trail ,,2.0 LTR ,144, Бензин,5,1549000,0
120,2011,155804,I Рестайлинг 2010 – 2013 ,внедорожник 5 дв.,серый,механическая,передний,Левый,2 владельца,Оригинал,Nissan ,Qashqai ,,1.6 LTR ,114, Бензин,5,673000,0
121,2014,128100,II 2013 – 2018 ,универсал 5 дв.,серебристый,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Kalina ,,1.6 LTR ,87, Бензин,5,309000,0
122,2019,29800,I 2015 – н.в. ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,4,689000,0
123,2016,20261,I Рестайлинг 1993 – 2020 ,внедорожник 3 дв.,коричневый,механическая,полный,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,2121 (4x4) ,,1.7 LTR ,83, Бензин,3,459000,0
124,2011,199738,II (F25) 2010 – 2014 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,3 или более,Оригинал,BMW ,X3 ,,2.0 LTR ,184, Дизель,5,1395000,0
125,2015,96244,I 2015 – н.в. ,седан,серый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,4,499000,0
126,2012,130314,II 2010 – 2016 ,хэтчбек 5 дв.,коричневый,автоматическая,передний,Левый,1 владелец,Оригинал,Citroen ,C4 ,,1.6 LTR ,120, Бензин,5,539800,0
127,2017,136000,I Рестайлинг 2015 – н.в. ,внедорожник 5 дв.,чёрный,механическая,полный,Левый,1 владелец,Оригинал,Renault ,Duster ,,1.6 LTR ,114, Бензин,5,730000,0
128,2015,64616,I 2011 – 2016 ,внедорожник 5 дв.,бежевый,автоматическая,передний,Левый,2 владельца,Дубликат,Geely ,Emgrand X7 ,,2.4 LTR ,148, Бензин,5,685000,0
129,2017,95000,I Рестайлинг 2013 – 2018 ,внедорожник 5 дв.,синий,механическая,передний,Левый,1 владелец,Оригинал,Skoda ,Yeti ,,1.6 LTR ,110, Бензин,5,1058000,0
130,2011,179000,I 2009 – 2013 ,седан,серебристый,механическая,передний,Левый,2 владельца,Оригинал,Renault ,Fluence ,,1.6 LTR ,106, Бензин,4,535800,0
131,2019,30000,I 2015 – н.в. ,универсал 5 дв.,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,5,858000,0
132,2010,127306,I (4G) 2010 – 2014 ,лифтбек,белый,роботизированная,полный,Левый,1 владелец,Оригинал,Audi ,A7 ,,3.0 LTR ,300, Бензин,5,1245000,0
133,2003,167167,I 2002 – 2009 ,внедорожник 5 дв.,серебристый,механическая,полный,Левый,3 или более,Оригинал,Chevrolet ,Niva ,,1.7 LTR ,80, Бензин,5,149000,0
134,2008,201601,I 2007 – 2013 ,хэтчбек 5 дв.,чёрный,механическая,передний,Левый,3 или более,Оригинал,LADA (ВАЗ) ,Priora ,,1.6 LTR ,98, Бензин,5,159000,0
135,2017,88541,I 2016 – 2020 ,внедорожник 5 дв.,серый,механическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Creta ,,1.6 LTR ,123, Бензин,5,949000,0
136,2013,92000,I Рестайлинг (FL) 2011 – 2016 ,внедорожник 5 дв.,пурпурный,механическая,передний,Левый,2 владельца,Оригинал,Chery ,Tiggo (T11) ,7 лет и 8 месяцев,1.6 LTR ,126, Бензин,5,349000,0
137,2007,187895,VIII 2005 – 2009 ,седан,чёрный,механическая,передний,Левый,3 или более,Дубликат,Honda ,Civic ,,1.8 LTR ,140, Бензин,4,479000,0
138,2014,150000,I 2010 – 2015 ,внедорожник 5 дв.,чёрный,механическая,передний,Левый,1 владелец,Оригинал,Renault ,Duster ,,1.6 LTR ,102, Бензин,5,630000,0
139,2013,153710,II 2013 – 2018 ,хэтчбек 5 дв.,синий,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Kalina ,,1.6 LTR ,87, Бензин,5,289000,0
140,2011,161000,2008 – 2013 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,1 владелец,Оригинал,Hyundai ,ix55 ,,3.0 LTR ,239, Дизель,5,1181000,0
