,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
0,2018,29000,I 1993 – 2019 ,внедорожник 5 дв.,коричневый,механическая,полный,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,2131 (4x4) ,,1.7 LTR ,83, Бензин,5,519000,0
1,2007,150000,1997 – 2012 ,седан,серебристый,механическая,передний,Левый,1 владелец,Дубликат,LADA (ВАЗ) ,2115 ,,1.6 LTR ,81, Бензин,4,83000,0
2,2020,12660,VIII (DN8) 2019 – н.в. ,седан,белый,автоматическая,передний,Левый,1 владелец,Оригинал,Hyundai ,Sonata ,,2.5 LTR ,180, Бензин,4,2109000,0
3,2015,60121,I Рестайлинг (FL) 2011 – 2016 ,внедорожник 5 дв.,чёрный,механическая,передний,Левый,1 владелец,Оригинал,Chery ,Tiggo (T11) ,,1.9 LTR ,132, Бензин,5,600000,0
4,2016,90363,I 2015 – н.в. ,седан,чёрный,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,4,620000,0
5,2012,239800,II (BL) Рестайлинг 2011 – 2013 ,седан,синий,механическая,передний,Левый,2 владельца,Оригинал,Mazda ,3 ,,1.6 LTR ,105, Бензин,4,629000,0
6,2019,60000,IV 2018 – н.в. ,внедорожник 5 дв.,серебристый,автоматическая,полный,Левый,1 владелец,Оригинал,Hyundai ,Santa Fe ,,2.2 LTR ,200, Дизель,5,2550000,0
7,2007,193000,I 2006 – 2013 ,седан,чёрный,автоматическая,передний,Левый,1 владелец,Оригинал,Nissan ,Almera Classic ,,1.6 LTR ,107, Бензин,4,398000,0
8,2018,49672,II 2016 – н.в. ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,1 владелец,Оригинал,Mazda ,CX-9 ,,2.5 LTR ,231, Бензин,5,2370000,0
9,2019,63400,IV Рестайлинг 2018 – 2020 ,седан,белый,автоматическая,передний,Левый,1 владелец,Оригинал,Kia ,Optima ,,2.0 LTR ,150, Бензин,4,1569000,0
